zip,service_type,subregion
1520,Electricity,NEWE
1521,Electricity,NEWE
1522,Electricity,NEWE
1523,Electricity,NEWE
1524,Electricity,NEWE
1525,Electricity,NEWE
1526,Electricity,NEWE
1527,Electricity,NEWE
1529,Electricity,NEWE
1531,Electricity,NEWE
1532,Electricity,NEWE
1534,Electricity,NEWE
1535,Electricity,NEWE
1536,Electricity,NEWE
1537,Electricity,NEWE
1538,Electricity,NEWE
1540,Electricity,NEWE
1541,Electricity,NEWE
1542,Electricity,NEWE
1543,Electricity,NEWE
1545,Electricity,NEWE
1546,Electricity,NEWE
1550,Electricity,NEWE
1560,Electricity,NEWE
1561,Electricity,NEWE
1562,Electricity,NEWE
1564,Electricity,NEWE
1566,Electricity,NEWE
1568,Electricity,NEWE
1569,Electricity,NEWE
1570,Electricity,NEWE
1571,Electricity,NEWE
1580,Electricity,NEWE
1581,Electricity,NEWE
1582,Electricity,NEWE
1583,Electricity,NEWE
1585,Electricity,NEWE
1586,Electricity,NEWE
1588,Electricity,NEWE
1590,Electricity,NEWE
1601,Electricity,NEWE
1602,Electricity,NEWE
1603,Electricity,NEWE
1604,Electricity,NEWE
1605,Electricity,NEWE
1606,Electricity,NEWE
1607,Electricity,NEWE
1608,Electricity,NEWE
1609,Electricity,NEWE
1610,Electricity,NEWE
1611,Electricity,NEWE
1612,Electricity,NEWE
1613,Electricity,NEWE
1614,Electricity,NEWE
1615,Electricity,NEWE
1653,Electricity,NEWE
1654,Electricity,NEWE
1655,Electricity,NEWE
1701,Electricity,NEWE
1702,Electricity,NEWE
1703,Electricity,NEWE
1704,Electricity,NEWE
1705,Electricity,NEWE
1718,Electricity,NEWE
1719,Electricity,NEWE
1720,Electricity,NEWE
1721,Electricity,NEWE
1730,Electricity,NEWE
1731,Electricity,NEWE
1740,Electricity,NEWE
1741,Electricity,NEWE
1742,Electricity,NEWE
1745,Electricity,NEWE
1746,Electricity,NEWE
1747,Electricity,NEWE
1748,Electricity,NEWE
1749,Electricity,NEWE
1752,Electricity,NEWE
1754,Electricity,NEWE
1756,Electricity,NEWE
1757,Electricity,NEWE
1760,Electricity,NEWE
1770,Electricity,NEWE
1772,Electricity,NEWE
1773,Electricity,NEWE
1775,Electricity,NEWE
1776,Electricity,NEWE
1778,Electricity,NEWE
1784,Electricity,NEWE
1801,Electricity,NEWE
1803,Electricity,NEWE
1805,Electricity,NEWE
1807,Electricity,NEWE
1810,Electricity,NEWE
1812,Electricity,NEWE
1813,Electricity,NEWE
1815,Electricity,NEWE
1821,Electricity,NEWE
1822,Electricity,NEWE
1824,Electricity,NEWE
1826,Electricity,NEWE
1827,Electricity,NEWE
1830,Electricity,NEWE
1831,Electricity,NEWE
1832,Electricity,NEWE
1833,Electricity,NEWE
1834,Electricity,NEWE
1835,Electricity,NEWE
1840,Electricity,NEWE
1841,Electricity,NEWE
1842,Electricity,NEWE
1843,Electricity,NEWE
1844,Electricity,NEWE
1845,Electricity,NEWE
1850,Electricity,NEWE
1851,Electricity,NEWE
1852,Electricity,NEWE
1853,Electricity,NEWE
1854,Electricity,NEWE
1860,Electricity,NEWE
1862,Electricity,NEWE
1863,Electricity,NEWE
1864,Electricity,NEWE
1865,Electricity,NEWE
1866,Electricity,NEWE
1867,Electricity,NEWE
1876,Electricity,NEWE
1879,Electricity,NEWE
1880,Electricity,NEWE
1885,Electricity,NEWE
1886,Electricity,NEWE
1887,Electricity,NEWE
1888,Electricity,NEWE
1889,Electricity,NEWE
1890,Electricity,NEWE
1899,Electricity,NEWE
1901,Electricity,NEWE
1902,Electricity,NEWE
1903,Electricity,NEWE
1904,Electricity,NEWE
1905,Electricity,NEWE
1906,Electricity,NEWE
1907,Electricity,NEWE
1908,Electricity,NEWE
1910,Electricity,NEWE
1913,Electricity,NEWE
1915,Electricity,NEWE
1921,Electricity,NEWE
1922,Electricity,NEWE
1923,Electricity,NEWE
1929,Electricity,NEWE
1930,Electricity,NEWE
1931,Electricity,NEWE
1936,Electricity,NEWE
1937,Electricity,NEWE
1938,Electricity,NEWE
1940,Electricity,NEWE
1944,Electricity,NEWE
1945,Electricity,NEWE
1949,Electricity,NEWE
1950,Electricity,NEWE
1951,Electricity,NEWE
1952,Electricity,NEWE
1960,Electricity,NEWE
1961,Electricity,NEWE
1965,Electricity,NEWE
1966,Electricity,NEWE
1969,Electricity,NEWE
1970,Electricity,NEWE
1971,Electricity,NEWE
1982,Electricity,NEWE
1983,Electricity,NEWE
1984,Electricity,NEWE
1985,Electricity,NEWE
2018,Electricity,NEWE
2019,Electricity,NEWE
2020,Electricity,NEWE
2021,Electricity,NEWE
2025,Electricity,NEWE
2026,Electricity,NEWE
2027,Electricity,NEWE
2030,Electricity,NEWE
2032,Electricity,NEWE
2035,Electricity,NEWE
2038,Electricity,NEWE
2040,Electricity,NEWE
2041,Electricity,NEWE
2043,Electricity,NEWE
2044,Electricity,NEWE
2045,Electricity,NEWE
2047,Electricity,NEWE
2048,Electricity,NEWE
2050,Electricity,NEWE
2051,Electricity,NEWE
2052,Electricity,NEWE
2053,Electricity,NEWE
2054,Electricity,NEWE
2055,Electricity,NEWE
2056,Electricity,NEWE
2059,Electricity,NEWE
2060,Electricity,NEWE
2061,Electricity,NEWE
2062,Electricity,NEWE
2065,Electricity,NEWE
2066,Electricity,NEWE
2067,Electricity,NEWE
2070,Electricity,NEWE
2071,Electricity,NEWE
2072,Electricity,NEWE
2081,Electricity,NEWE
2090,Electricity,NEWE
2093,Electricity,NEWE
2101,Electricity,NEWE
2108,Electricity,NEWE
2109,Electricity,NEWE
2110,Electricity,NEWE
2111,Electricity,NEWE
2112,Electricity,NEWE
2113,Electricity,NEWE
2114,Electricity,NEWE
2115,Electricity,NEWE
2116,Electricity,NEWE
2117,Electricity,NEWE
2118,Electricity,NEWE
2119,Electricity,NEWE
2120,Electricity,NEWE
2121,Electricity,NEWE
2122,Electricity,NEWE
2123,Electricity,NEWE
2124,Electricity,NEWE
2125,Electricity,NEWE
2126,Electricity,NEWE
2127,Electricity,NEWE
2128,Electricity,NEWE
2129,Electricity,NEWE
2130,Electricity,NEWE
2131,Electricity,NEWE
2132,Electricity,NEWE
2133,Electricity,NEWE
2134,Electricity,NEWE
2135,Electricity,NEWE
2136,Electricity,NEWE
2137,Electricity,NEWE
2138,Electricity,NEWE
2139,Electricity,NEWE
2140,Electricity,NEWE
2141,Electricity,NEWE
2142,Electricity,NEWE
2143,Electricity,NEWE
2144,Electricity,NEWE
2145,Electricity,NEWE
2148,Electricity,NEWE
2149,Electricity,NEWE
2150,Electricity,NEWE
2151,Electricity,NEWE
2152,Electricity,NEWE
2153,Electricity,NEWE
2155,Electricity,NEWE
2156,Electricity,NEWE
2163,Electricity,NEWE
2169,Electricity,NEWE
2170,Electricity,NEWE
2171,Electricity,NEWE
2176,Electricity,NEWE
2180,Electricity,NEWE
2184,Electricity,NEWE
2185,Electricity,NEWE
2186,Electricity,NEWE
2187,Electricity,NEWE
